id,listing_id_overlap,comments,review_scores_rating
18,5054,"Amazing place, great people unusual, definitely recommend :) Thank you ",93
19,5121,"This room is the perfect place for an adventurous couple to stay! The room was beautiful and clean with a comfortable bed and a luxurious shower. We really enjoyed being able to meet all of the animals on the property, which were super friendly. We were only able to stay for an evening, but we will definitely return on any future trips!",90
20,5238,Matthew's place was very convenient to downtown. Cute cottage home with the essentials. I would stay there again. ,93
21,5245,"Marianne's place is exactly as it looks in the pictures: bright, clean, and comfortable. We loved the art on the walls and the style of the whole house. She was extremely accommodating about check-in/out and was exceedingly responsive with communication. Some of my friends had never stayed with AirBnB before and now they say they definitely will in the future. Wonderful experience!",90
22,5351,"Shirin was a wonderful host!  Everything was immaculately clean and well-organized, this home is in a beautiful Austin neighborhood, and Shirin was gracious, kind and respectful.",77
23,5435,"Pete's apartment is just lovely. 

Three of us stayed for a week, there was plenty of room (plus room for one more), it is beautifully decorated and has everything that we needed. The code entry made it super easy to turn up and get in without having to worry about timings and late planes.

The apartment is in a great area, with great places to eat: Mothers, Julio's, Quacks and Hyde Park Bar and Grill are just 2 mins away as well as a fantastic local cheese shop (Antonelli's), a grocery store and a great juice bar all near by. There is also a bus stop just outside that takes 20mins to get downtown or 30 mins to South Austin.

When I go back to Austin this place will be top of my list.
",91
24,5441,"This is a lovely apartment in a great area.  Very well appointed, comfortable and spacious.  The balcony is a great feature too.  And Hyde Park is a lovely, tree-lined, characterful area.",97
25,5456,"The place was everything we hoped for and more. Super clean, awesome layout, perfect neighbourhood with access to cute restaurants, cafes, and groceries, and great check-in/check-out organization. Thanks so much Pete, and keep up the awesome hospitality!",96
26,5506,"most comfortable bed ever. fantastic shower. incredible backyard. all things most important to us during our month road trip cross country. clean, spacious and right off highway which didn't bother us as it made getting into town a 7-10 min drive. wouldn't stay again! ",92
27,5682,We loved the tree house. It was really convenient that we could walk through the back yard and walk into the Magnolia Cafe. I think I gained about 5 pounds that weekend... We didn't expect awesome water pressure in the shower since it was a secondary building but was definitely surprised.,96
28,5728,"Perfect place for me and my friends whilst in Austin. Location right on top of 6th st, and the apartment was modern and comfortable. Could easily accommodate 7 in an open layout. ",94
29,5729,The host made the entire experience easy and gave us all the appropriate information on a timely manner. The location was the best part about this loft! We spent most of our time on the balcony enjoying the view and there were plenty of restaurants nearby so find some grub was never a problem. Lots of closet space and a big bathroom was a big plus for a group of girls! There were some uninvited guests that camped out by the street entrance of the loft that made a group of girls uneasy but there was a door guy that was there to clear the entrance. All and all we had one of the best experiences and staying at this loft made it that much better!! ,94
30,5769,"Fantastic house! We had a great stay. Quiet neighborhood, with a couple bars sprinkled around close by. It really was the perfect location for our group. Safe, clean, modern. ",98
31,5803,"Heidi was a great host. Her home is very spacious and comfortable, with lots of cute decorations. The location was perfect for me, quick and easy to access from I-35. South Congress isn't far, and there are plenty of shops and restaurants nearby. The bed was very comfortable, too. Heidi also was very quick to respond and took my reservation on very short notice.",93
32,5843,"Heidi was a great host and the apartment is great! Very clean, very spacious, very comfortable. She was extremely thorough with her instructions and we were always in contact with her. 10/10.",87
33,5945,The bed is so comfortable!!!!!!!!!! The place is amazing.... the shower is roomy and comfortable....... ,92
34,6033,"The house is in a great location, close to all South Congress has to offer, and not a far ride from downtown.  Coordination with the host was easy and the place was very welcoming and clean.",86
35,6090,cute space well-outfitted with all the necessities in a great location in central austin; jason was super responsive through the whole process from the first message i sent. would definitely recommend this spot for a single traveler or couple wanting to make a great little austin neighborhood their home for a few days! ,96
36,6413,"Andrew and Laura were very welcoming and great hosts.  Great location, centrally located and within walking distance from a lot of great restaurants and bars.  Would highly recommend!",99
37,6448,"Perfect spot right off South Congress.  Close to many restaurants, bars, and shops. Very nice place.  It is so much nicer than the pictures.  Really enjoyed it.",99
38,6606,Wonderful host! Had a minor hiccup with my car while there and Suzy offered to help me if I needed. Very much appreciate her  generosity. ,93
39,6695,"Had a terrific time, the place was clean, perfect location, easy to find and get into, never heard a word from our neighbors (in a good way) and it had everything we needed. Would definitely stay here again next trip to Austin.  Thanks !",95
40,6715,Dealing with Stephanie was so easy and nothing but a pleasure. The place was spotless and very charming; we loved it! We will definitely be back :) ,89
41,6848,"Our stay at Steven's ranch felt grand. The home is large and beautifully furnished. The outdoor animals were friendly and the neighbor, Bill, was kind and helpful upon our arrival. Additionally, we found 2 great restaurants down the road which stayed open late, one Mexican and the other Vietnamese. We felt very comfortable in Steven's home and hope to visit again.",90
42,6976,"Charlie's place was great! it had more than enough room for the four of us to stay.  The house was very clean and I wouldn't give it a second thought about staying again. 

The location was perfect for us. everything we wanted to go was only a short little drive.

Also, it was pretty nice having some records around to have some music going. pretty good selection, i might add. 

Overall, I would definitely love to stay here again next time I decide to head to Austin. ",99
43,7097,This was an awesome stay. It was my first time in Austin and I got a great feel of what it's like to be a local.,96
44,7126,The apartment complex was very nice. Offer responded quickly to our last minute inquiry and was very welcoming and hospitable. The room and apartment in general were extremely clean and comfortable. The bed and sheets were comfortable and clean. It was an overall great experience.,91
45,7143,Offer was very nice and provided a nice clean room with a desk and wifi that worked very well and a clean bathroom.  The bed was comfortable and I slept very well.  The neighborhood was very nice and very conveniently near to my work.  I enjoy talking to Offer and look forward to staying there again sometime when it is available again.,93
46,7241,"Great condo in a convenient location walkable to downtown Austin. Spacious with all the amenities you would expect, very clean, comfortable beds, well equipped kitchen.",92
47,7322,"Brittany was great to communicate with and her house was fantastic! It was quiet, clean, very very comfortable and we couldn't ask for a better place to stay  for the weekend! I would recommend her place to anyone and we sure hope to be back again next year!",96
48,7369,Ok place. Lauren was helpful and communicative. Bathroom was a mess.,94
49,7679,Great space.   Great location.  Great host.   Lost count regarding how many times I have stayed here.  ,97
50,7801,Ward was a great host aswell as his house. Everything was layed out for us house was real clean and nice real quiet neighborhood and stores are close by aswell downtown was only 10 minutes away. We had a great time and would stay at Ward's house again on our next trip to Austin!,98
51,7816,Nice area and centrally located to most things. Only stayed 1 night but enjoyed it. ,95
52,7992,"Though we never got to meet Mary, she was very quick with replying to our messages prior to and during our stay. The room was as described and we enjoyed our stay. ",96
53,8021,"Wonderful host! So helpful during our stay. Really recommend Paulines place!
Loved the room and area aswell.",96
54,8024,"I really enjoyed my stay at Pauline's.  Her house is in a convenient location, close to the bus stop that goes right down South Congress, which was important to me since I didn't rent a car. (the HEB grocery store sells weekly bus passes)  I do wish I had  spent more time around the the St. Edwards University area , which is right down the street from the house.  Pauline was very helpful with her suggestions around town.   I enjoyed my conversations with her  after a long day in Austin.  I'll definitely stay here next time I'm in Austin. ",93
55,8110,Very nice place close to lots of authentic Austin bars and restaurants and within 10 minute drive of everything you would want to do in Austin.,90
56,8225,"Summary: beautiful, close to SoCo/6th st/Downtown and UT, very safe and private, full amenities, brilliant host.

The photos of the casita are beautiful, but actually being in the space and staying there was divine. As I explored the place and all it's charms and thoughtfulness laid out by our host Dolina, I was more excited to stay here in the Casita than to explore the city the evening I arrived. Hunger eventually drove me out and I was within a short 5 minute or less drive to Downtown/6th street, Zilker Park, a mile from the heart of SoCo. UT was about a 10-15 minute drive. I could not image a better location, close enough to everything I wanted to visit, but not waking up to people trampling across the sidewalks of the casita like some places. I would definitely recommend the Casita to friends and family. I even started to feel guilty for not bring an extra friend to share the experience with us. 

Extras: comfy bed, fluffy pillows, thoughtful treats of chocolate, tangerines, coffee, cream, and tea. Also a glorious collection of books to read and plenty of space to sprawl out and enjoy them. After confirming with Dolina, I was able to have a very flexible check out time.",91
57,8235,"What can I say about this place, other than it's PERFECT in every way. I really enjoyed my stay there. Dolina was extremely friendly and accommodating in every way. She went out of her way to give me a 5 star experience at the birdhouse. If there was a class to be taught on ""how to host on airbnb"", she'd be first on my list to teach it. The place was quiet, well-appointed and full of books that I would actually read. And the bus stop was just around the corner that took me straight downtown in about 10 minutes. Very convenient. I wish I could take this place back with me to San Francisco!",93
58,8502,"Amazing house and even better couple... Very nice people...Had resources and snacks set up when we arrived and gave us a great tour of the home, and made us feel welcome and comfortable...",93
59,8745,Easy check in. Beautiful house.,90
60,8746,"This is the second year in a row that my team has stayed at Chloe's listing for SXSW Interactive.  She is a fantastic host, the house is clean and nicely furnished.  The backyard was recently renovated, and it is amazing, a perfect place to host small events, and just hang out.  If your party is interested, she will give you some great local places to hang out, grab a meal, or a beer.  We are from the Bay Area, and she pointed us to a sports bar that let us watch the Warriors.  I really can't say enough about how positive the experience is staying here.  The big bonus is onsite washer and dryer.  I love being able to come home with clean clothing!!!  She always checks in the morning of arrival and departure to make sure everything is good.  ",93
61,8747,"The house looked exactly like the listing on the site. Very clean, and spacious enough to accommodate me and the group of 5 I came with. Host let us enjoy ourselves as much as we wanted, as well as communicated her concerns to make sure everything was smooth. We had a great time at SXSW and especially at the home! Can't wait to visit Austin again. ",80
62,8770,Would definitely recommend that others stay at Chloe's place! We had some challenges with evenly heating the house (it was 20 degrees through part of the weekend) but overall everything was great! The house was well-kept and had all the essentials. And plenty of parking. ,94
63,8792,Awesome place! Walkable to the heart of east Austin. Uber is always around if you need to go downtown or the campus area. The backyard is great place to chill at the end of the day. they email you with all the necessary instructions. Very cool folks! I'd go back. ,93
64,9140,Such a lovely place! We had the best time. Looking forward to our next stay here. ,95
65,9273,"Dani was incredibly responsive with everything we needed and very pleasant in the process.  Everything was as we expected it and more.  The house was very cozy and had a great Austin feel to it, also didn't hurt that it was a 3 minute walk to Torchey's Taco's ;)  Would recommend this to couple or set of couples looking to explore South Congress and a quick bike ride/cab form downtown and 6th street.  ",100
66,9357,"Brooke's place is located walking distance from Barton Springs and downtown Austin. There are tons of cute bars and restaurants nearby. We fit 5 people comfortably in the apartment. It was cozy, clean, and more spacious than I imagined. I would definitely recommend staying here!",90
67,9376,"Cristin and Olya are really kind, cool and intelligent people. I had great conversations with them, and it was really fun to hang out with them and share food and a few beers. The house is in a great area, with lots of trees, and close to some really iconic Austin cafes.",93
68,9419,"Brand and Anni were awesome! We got to the house a little early to drop off our stuff and they welcomed us with open arms and made us feel right at home! The house is just as advertised.  Great location in East Austin, only a quick drive/ uber ride away from downtown.  Definitely recommend!",91
69,9460,D'Ann was a great host. She met us at arrival and offered welcome drinks. Have a house tour and provided a wealth of information about the area.,98
70,9531,"Great location and a beautiful place. Ashley was super helpful with pre-arrival accommodations, and the house was very well prepared upon arrival. Excellent place for any large group going to Austin.",100
71,9534,"Ashley was an excellent host and we loved staying at Casa Roja!  Everything was just as beautiful as the pictures!  

",100
72,9596,"This home was exactly as listed, no surprises.  It was very clean, comfortable and had everything we needed to have a great stay. The location of the house was great. Easy access to all the places we wanted to go. ",88
73,9657,had a great stay with Brooke. I am a regular Airbnb user but first time at this property. Really enjoyed place and assistance.,93
74,9668,"Had a great time here, unit was super clean with all the amenities you would expect from a luxury hotel.  The owner was very accommodating and would highly recommend staying at any of her properties. ",87
75,9704,"Brooke was prompt and thorough with helpful information on finding, parking, checking in, staying at, and exploring around the Little Josephine property. My wife, 2 kids (11 & 15), and I were very comfortable and spent much of our 4 days lounging around with books, movies, and board games! We found ample dining and shopping opportunities near by. This charming location was the PERFECT getaway!  ",98
76,9765,"We had the most perfect stay in Adam's studio while visiting Austin for  the iheartcountry festival.  The studio was clean and spacious and the reviews do not lie---the bed is AMAZING.  Just a short walk to South Congress and $5-$10 Uber/Lyft ride to all other hot spots. We didn't want to leave and would stay here again in a heartbeat when visiting Austin! Couldn't have asked for a better first time airbnb experience!
",89
77,9782,"It was awesome. Everything was clean, roomy, comfortable. Enrique was a great host who was fast to answer any questions. ",80
78,9783,"Very nice place! Highly recommend you stay here. Host is quiet, friendly, communicative and provides everything as listed. 10/10 would book again. ",89
79,9824,We enjoyed our stay at Brooke's cottage. It was exactly as the pics show.... very clean and nicely furnished. Loved the location and close to park area. Would certainly recommend and stay there again!,78
80,9855,"Charles was a great host! His place is the perfect location, right off South Congress. Thanks for a great stay. ",90
81,9857,"We stayed in Charles' condo over a long weekend. It was a great location, minutes from South Congress, just as described. We used Lyft and Uber to get many places and it was very affordable with how close the condo is to everything. The condo itself was very clean and comfortable. Charles was a great host. Weeks before our trip he offered to have our favorite drink waiting in the condo and also provided us with advice on many things to do. His advice list was great and we referenced it the entire stay. We would definitely stay here again! Many thanks to Charles for a great Airbnb experience. ",89
82,9859,"The apartment was in a good location and suited our needs just fine.  Street traffic is a bit noisy, just fyi.

",95
83,9860,Great getaway place.  Had everything we needed and more.  Loved that we could walk to everything we wanted to visit in soco.  The neighborhood is lovely.  Bed was comfy and just felt like home. Hope to stay again!,85
84,9870,"Charles place was perfect to crash during a hetic business trip. The bed was super comfortable! Internet was really slow, but he mentioned he was working on getting it fixed! A 15 minute walk from some good stuff on South Congress, I walked to dinner a few times.",80
85,10291,"Jon sent us a great welcome package before we arrived, so we felt very prepared prior to the trip. The studio was perfect for a long weekend exploring Austin and was very central to everything we wanted to do. The studio was very clean and the pullout sofa was pretty comfortable!",97
86,10385,This was a great apartment for 6 girls.  There was plenty of room and it was conveniently located. It was very clean as well.  I would definitely come back and stay here again. ,94
87,10695,Lauren's condo was perfect for our stay! It couldn't be in a better location in downtown Austin and she was responsive to any questions that we had. Everything was very clean and as depicted! ,95
88,10730,"Great house in an excellent new estate. 7 of us stayed there for SXSW and to do lots of things around Austin for the week. There was more than enough room and the house was immaculate when we arrived, with a large living room and dining area and a very nice outdoor area for when the weather is good. In order to get downtown we took the bus which runs every 20 minutes and is about a 5 minute walk - perfect if you don't want to drive and cant park during SXSW. Its also pretty near the I35 which made is easy to get north or south of the city to do things in the surrounding area. All in all a great place to stay. ",95
89,10758,"Carlos's place was fantastic to stay at! It really felt like a checking into a hotel in many ways because he laid out recommendations of where to go and what to do, had fresh towels and toiletries out in the bathroom, and obviously went out of his way to leave the place absolutely spotless for my stay. It felt like I was renting from a true professional who is also very thoughtful. The space had everything I could need including a comfortable bed and lots of room in a modern apartment in the heart of the college district. Getting in and out was a breeze including check-in and check-out, and Carlos is an exceptional communicator. He was always only a phone call or text away and was also a very appreciative host. Excellent experience, would stay here again when visiting Austin. ",60
90,10760,"Great, clean place in a fun area.  I felt I got a great dose of the hip-Austin experience. Carlos is super nice and accommodating, and is very easy to communicate with.  Really helped facilitate a great trip!",99
91,10807,"Sweet accommodating host. The home and room was super clean, with cute decor everywhere! Host offered great recommendations and location was spectacular and super convenient. I would definitely stay on rainey street again!",60
92,10811,"Nicky was so welcoming and sweet. She made us feel so comfortable. I would absolutely visit her again! She was clean, hospitable, and I felt very safe with her. She went out of her way to pick us up, she always had a smile. She is a great person.",92
93,11012,This loft is a really beautiful place to stay.  Great amenities and very comfortable.  Nice patio and nice backyard.,95
94,11374,Great stay here - condo was clean & comfortable and neighbors were friendly.  Short walk to Congress and easy to get to other parts of town via Lyft.  Would recommend to friends!,82
95,11411,"This home is amazing and eclectic and a very ""Austin"" place to stay. We really enjoyed it! The host was great, very informative and easy going. The host wasn't there during our stay but was still very available to us which I appreciated. I would definitely recommend this place! ",93
96,11511,Great place and location! Great value!,97
97,11708,"Michele was great - loved the house!  It was quite charming with lots of fun, whimsical touches. Bedroom was perfect. ""Treat"", her cat was adorable, and I wanted to take her home. I was able to use the kitchen freely which was so nice, and Michele's china was lovely.  Had great conversations after returning from the wedding I attended Sunday.  

The neighborhood was perfect. Houses were interesting, had great landscaping and we were close to everything.   I look forward to returning in the future. Thank you for your sense of humor and your gracious hospitality.

Jerome
",86
98,11900,Delightful space in a fabulous location!!!!,90
99,12140,Nice farm,100
100,12192,"Jess was very responsive and truly wanted us to be comfortable and have all the information necessary for a wonderful stay.  The cottage is cozy, with plenty of space.  Particularly nice to  have the washer and dryer on site.  The bed and pillows were also very nice.  The bathroom is small, but has everything you need.  We have family close to there, and enjoyed walking to restaurants and just around the interesting transitioning neighborhood; full of character!",86
101,12299,"Fantastic place and experience. Stayed for a business trip. Was super clean, and quiet at night. Ted met us out front upon arrival. Location was great for walking and riding bike share b-cycles everywhere! Highly recommend. ",100
102,12318,The house is in a great neighborhood. The house has the modern amenities. The heated pool was amazing ,94
103,12356,"This house is AWESOME. Very spacious, modern, and accommodating. I stayed there with 3 other people and had plenty of room. It's perfect for having company over before heading out downtown. Would definitely recommend!",93
104,12382,"We stayed for 2 full weeks. The house is very nice, it is really as shown in the pictures. The host was available by email and by phone at all times. We enjoyed our stay, certainly this house will be our fist option to stay next time we travel to Austin. ",89
105,12441,Wonderful trip. House was clean and comfortable. Great location Definitely recommend this house. ,89
106,12899,"Perfect spot to settle in for a week long business trip. Walking distance to plenty of food choices. I stayed alone (female) and felt so safe at the apt and walking around the neighborhood at night. Wifi was fast and dependable to get work done. Tracy supplied plenty of coffee, too!",98
107,13035,"The house was lovely in an up-and-coming neighborhood.  Easy 20 minute walk to 6th street, or cheap cab ride into town, so a rental car isn't necessary.  Space is open with good light, and backyard is huge.  The kitchen has incredibly nice and new amenities, and except a dishwasher it has everything else you could need. Overall very good experience, would rent here again if we came to Austin in the future.",100
108,13050,"Our stay at the Eastside House was perfect. The house had everything we needed to enjoy a great Austin weekend! Jessica was super accommodating, friendly, and very available during our trip. The house location was ideal for biking and walking around town. We rented bikes in the neighborhood and made our way down to Lady Bird Lake for paddleboarding and lunch on Rainey street. It was a great stay overall!",94
109,13068,Awesome place! Great communication with owner and an all around great experience.,93
110,13076,Great location with plenty of room for 6! Jessica was very responsive & kind.,88
111,13414,"John was very welcoming to us for our trip, providing water, a nice room, TV and wifi. John helped give us the lay of the land in what areas would have the most traffic and helped provide us with a care free experience in Austin.",94
112,13536,"We had an awesome time during our stay here!  It's a clean and comfortable place with pretty much everything you'd need.  Knowing nothing at all about Austin before our visit, we appreciated having Lanis show us around the city and bring us to some interesting spots.  Sara, Amanda and Lanis are definitely fun and friendly company, making us feel at home.  Good times!",60
113,13552,"Stayed here the night before meeting friends for ACL. Great, safe location, would definitely stay again!",93
114,13589,Great little spot for my business travels.  Awesome value.  Will stay there again for next business travel.,87
115,13592,The instructions provided by Caleb made his place easy to find and navigate through. The bed was super comfortable and the Netflix was perfect to end my day each night! Plenty of room in the fridge to store the food I had brought for my stay. About a 20 minute drive from where I was visiting (45th and Lamar). Made a convenient stop by the Aboretum on my way into town as well.,76
116,13776,Mike was great with communicating throughout check in/out and got back to us with great suggestions for music venues when we reached out the first evening. Really enjoyed seeing this part of the city and having a comfortable spot to return to & relax/make a meal at the end of the day. The airstream was tidy and cozy but not at all cramped- would recommend for anyone looking to have a mellow visit with access to the downtown area!,96
117,13808,"Hilary is incredibly nice and welcoming. As long as you don't mind being off the frontage road of a highway it is a good location. You can get anywhere with the highway. I prefer to walk which was not easy to do from there. The space is a little cramped, and I found the futon to be not very comfortable, but I'm used to a super soft bed and you can feel the bars on the futon. You don't really get your own space much, and if you like privacy there really isn't any, except that Hilary is not there much. You do have access to her kitchen and even her laundry which is nice.",94
118,14098,"The cielo room was absolutely wonderful. The location was great - close to downtown by foot and car. The neighborhood is adorable and being renovated all around. Great food and nightlife options nearby, but also close enough to walk downtown or take a few minutes drive to see more of the city. Ginger was more than accommodating, and what you've read is right - her dog is the sweetest! I would completely recommend Ginger's place to anyone heading to the Austin area!",98
119,14124,"The room was great! Cozy, clean, nicely decorated, and enough space for the two of us. The location is perfect to walk to a few close coffee shops or restaurants or bike to just about anywhere else. We parked our car right downstairs. Everything went smoothly and am looking forward to renting it again! ",96
120,14273,"I stayed at Casa Alta Vista for one night and wish I could have stayed longer! Tim & Tamara's  lovely guest space is very charming, clean, private and only 5 minutes to downtown. Fantastic location and neighborhood. The bed was large and comfy....I slept like a rock. The bathroom is updated with very nice quality tile and finishes. The shower was my best friend the morning after a long night out! It was the perfect place for my overnight stay in Austin. I hope to be back soon and stay longer next time! ",97
121,14290,"We had a wonderful stay at Tim and Tamara's home! The bedroom and sitting area were extremely spacious and attractive. The king-size bed was comfortable and the room was quiet. There was a daybed, mini fridge, microwave, and Keurig coffee maker in the sitting room. Our hosts provided the coffee, and there were dishes and silverware available in the cupboard. The bathroom was beautifully decorated with tile floor and shower, and the towels were luxuriously thick! We loved the neighborhood as well. It was easy access from Interstate 35 and close to the river and South Congress, but still had a secluded feel with tree-lined streets and beautiful homes. We had a chance to meet Tamara and their younger daughter; both were delightful to talk to. We could not have chosen a better place to stay in Austin!!",95
122,14314,"My fiancé and I love our time at Tim's and Tamara's place in Austin.  It was a breeze to find, centrally located to everything we wanted to see, and lovely.  The use of the door code made it really easy to check in and out.  The apartment itself has a really comfortable, big bed and all sorts of amenities.  The coffee and snacks that were provided were also a nice touch.  We'll definitely be asking to stay here again on our next trip to Austin!",95
123,14322,"What a lovely stay! Tim and Tamara's Air BnB is the nicest I've ever seen. They sent me great directions well before the visit, and we're wonderful with communication overall. They stocked the room with pretzels, chocolate, water, coffee, shampoo, conditioner, soap, and extra toiletries. The place was extremely clean, and the couch and bed were quite comfortable. I'd definitely stay again the next time I'm in Austin. The location can't be beat. 15 min walk to downtown and South Congress.",91
124,14377,Jeremy was great. Super communicative and fast to respond to any and all questions. The house was very clean and cute. Jeremy also left my group a nice goodie package to help us enjoy the space and feel super welcome.,97
125,14386,Jeremy was in constant communication with us the entire stay and leading up to it. We felt very well taken care of and the place was great!,96
126,14434,"Ryan's place was perfect!  Great location and very clean.  It could be a bit loud from time to time when neighbors were coming home late night, but the location, cleanliness and overall great hosting were wonderful.  We would definitely stay here again!
",91
127,14577,"This is a great funky house, with lots of interesting decks and quiet nooks for reading.  It is in a quiet wooded neighborhood, perfect for a stay-cation away.  There is lots of deck and patio space for outdoor grilling and entertaining, and there are two chimineas for an evening campfire.  The location offers a close walk to Zilker park or to lots of great restaurants, food trucks, and Uncle Billy's brew and BBQ on Barton Springs, or a short drive to downtown destinations or South Congress.",94
128,14668,The hosts were very helpful and always there when we needed anything.  They  made us feel welcome since the very beginning of our stay.  ,98
129,14694,"Overall, I loved my time at Jason's place. The unit was clean, charming, and perfectly situated in the lovely Clarksville neighborhood. I would definitely stay here again - in fact, I am. Next week! Can't wait!",100
130,14708,I had a nice stay in Jason's place. Very clean. Easy to walk to downtown. Checking in and out was super easy. Thanks so much!,97
131,14765,"Comfy bed, convenient location, easy communication. I would stay here again. ",93
132,14913,We had a great stay! Excellent hospitality and the room was quite comfortable! Definitely would love to come back!,98
133,14945,"Jaime and Mike were wonderful hosts, we felt very welcome and the guest house is very nice and cozy. They've thought of everything when it comes to stocking the space with necessities; we felt as if we could have practically forgotten to pack luggage at all and been able to get by with no trouble! The location is nice and quiet, but still manages to make many of Austin's attractions easily accessible. This listing was part of what made our weekend in Austin so enjoyable!",87
134,14991,"This was the PERFECT AirBNB Experience! The location is perfect and the guest house is exactly what we were looking for. Located in a great neighborhood , walking distance to an amazing coffee shop (Patika) , I highly recommend staying here. Jamie and her husband are super friendly and I got to meet their three adopted doggies which were also super cute. The guest house is stocked with information about Austin, all the amenities one would need & then some. I was so happy. The AC works great, which was a nice treat after being out in the Texas sun. Snacks and drinks & bathroom amenities were the cherry on top. This was one of my best AirBNB experiences ever, if not best. Love love love. ",98
135,15108,"Mary's little yellow cottage was an ideal spot to start our vacation. My wife, her mum, and I landed in Austin late in the evening but when the taxi delivered us to Mary's place, we instantly felt at home in her clean!, tidy house. The beds were comfortable, linens fresh and high quality, and the kitchen had everything Teri needed to cook up a Texas storm. We were hungry when we arrived and didn't realize the 24-hour HEB grocery was so close so we scooted across the street and met the excellent Javier at El Tacorrido. He and his coworker - we didn't catch her name - fixed us up with tasty Mexican food and Texan hospitality. They stayed open a few minutes later just to serve us, their last customers of the day. We had a great night's sleep and awoke the next morning, eager to investigate Austin. As we'd decided to pick up a car when leaving we were thrilled with the terrific bus service available 100 feet from Mary's door. We bought $2 all-day ride passes, an excellent value, and spent our time in Austin checking out the Capitol, the Blanton Museum, the O. Henry House, the funky shops and booteries on South Congress, Whole Foods' flagship store, the quirky G'raj Mahal (delicious Indian food), and the Austin City Limits Theater to see the Gipsy Kings. On our last morning in Austin, Teri and I walked downtown in less than an hour to the Hertz location on E. 10th and were very happy to meet Tim, who fixed us up with a nice rental car at a great rate. The people we met during our time in Austin were friendly and helpful to a person, no matter how casual our encounter. Austin is a wonderful town full of interesting, welcoming folks such as Mary, our Airbnb hostess. Mary was quick and clear in all our communication and renting her place got our vacation off on the right foot. I can't say enough good things. Thanks very much, Mary! We look forward to staying with you again some time.

Stu & Teri and Pat",86
136,15154,Mary and her cottage were both fantastic. A well-equipped kitchen and goodies in the fridge made us feel right at home. Mary rocks and this spot is a wonderful way to spend time in Austin.,99
